26386, -15343, 22588, -116215,
26063, -15343, 22588, -115892,
26386, -15343, 22588, -115892,
26386, -15343, 22265, -116215,
26709, -15343, 22265, -115892,
26386, -15343, 22588, -115892,
26386, -15343, 22265, -116215,
27033, -15343, 22588, -116215,
26386, -15666, 22588, -115892,
26386, -15666, 22265, -116215,
26709, -15343, 22265, -116539,
26386, -15666, 21941, -116539,
26386, -15666, 22265, -116215,
26063, -15666, 21941, -116539,
26386, -15343, 22265, -116215,
26386, -15666, 22265, -116862,
26709, -15343, 22265, -116539,
26709, -15343, 22265, -115892,
26709, -15020, 21941, -116215,
26709, -15020, 22588, -116215,
26709, -15666, 22265, -116862,
26709, -15343, 22265, -116539,
26709, -15343, 22265, -116215,
26709, -15343, 22588, -116215,
26386, -15343, 22588, -116539,
26386, -15343, 21941, -116539,
26386, -15343, 22588, -116539,
26386, -15343, 22588, -116539,
26386, -15343, 22265, -116862,
26386, -15343, 21941, -116539,
26709, -15343, 22588, -116539,
26386, -15666, 22588, -116539,
26386, -15343, 22265, -116539,
26386, -15666, 21941, -116862,
26386, -15666, 22265, -116862,
26709, -15666, 22265, -116539,
26709, -15343, 22265, -116862,
26709, -15666, 22265, -116539,
26709, -15020, 22265, -116862,
26709, -15666, 21941, -117186,
26386, -15343, 22588, -116862,
26063, -15666, 21941, -117509,
26709, -15666, 21941, -116862,
26386, -15666, 22265, -116862,
26386, -15666, 21941, -116539,
26709, -15020, 22588, -116862,
27356, -15020, 22588, -116539,
26709, -15343, 22265, -117186,
26386, -15343, 22265, -116862,
26709, -15666, 22912, -116862,
26386, -15666, 22588, -117186,
26063, -16313, 21618, -117509,
26063, -15666, 22588, -116862,
26386, -15343, 22265, -117186,
26386, -15343, 22265, -117186,
26709, -15343, 22265, -116862,
26386, -15020, 22588, -117186,
26386, -15343, 22265, -116862,
26386, -15020, 22265, -116862,
26386, -15666, 22588, -116862,
26386, -15343, 22265, -117186,
26386, -15020, 22265, -117186,
26386, -15343, 22265, -117186,
26386, -15343, 22265, -117186,
26709, -15343, 21941, -117186,
26709, -15343, 22265, -117186,
26709, -15343, 22265, -117186,
26386, -15666, 22265, -117509,
26386, -15666, 22265, -117186,
26063, -15989, 21941, -117833,
26386, -15343, 22265, -117186,
26386, -15666, 21941, -116862,
26386, -15343, 22265, -117509,
26709, -15020, 22588, -117186,
27679, -14696, 22912, -116215,
26386, -15020, 22912, -117186,
26709, -15666, 22912, -117509,
26386, -14696, 22588, -117186,
26386, -15343, 22588, -117833,
26063, -15989, 22265, -117509,
26386, -15343, 21941, -117509,
26709, -15343, 22265, -117509,
26386, -15343, 22588, -117509,
26386, -15666, 22588, -117186,
26063, -15343, 22265, -117186,
26386, -15343, 21941, -117833,
26386, -15343, 22588, -117833,
26386, -15343, 22265, -117833,
26386, -15343, 21941, -117833,
26386, -15343, 22912, -117509,
26386, -15343, 22588, -117833,
26063, -15666, 21941, -117833,
26386, -15343, 22265, -117509,
26386, -15343, 22588, -117509,
26386, -15343, 22265, -117509,
26709, -15343, 22265, -117833,
26386, -15020, 22265, -117509,
25739, -15666, 21941, -117833,
26386, -15343, 22265, -117833,
26386, -15343, 22265, -117833,
26386, -15666, 22588, -117509,
27033, -15020, 23235, -117186,
27033, -15020, 22912, -117186,
26709, -15343, 22588, -117509,
26709, -15343, 22588, -117833,
26709, -15343, 22588, -117833,
26386, -15343, 21941, -117833,
26709, -15666, 22265, -117833,
27033, -15343, 21941, -117509,
26709, -15343, 22588, -117509,
27356, -14373, 23235, -117186,
26709, -15666, 22588, -118156,
26386, -15343, 22588, -118156,
26709, -15343, 22588, -117509,
26709, -15343, 22265, -117833,
26709, -15343, 22265, -118156,
26709, -15343, 22588, -118156,
27033, -15666, 21941, -117833,
26709, -15343, 22265, -117833,
26709, -15020, 22588, -117833,
27033, -15666, 22588, -117833,
27033, -15343, 22588, -117833,
27033, -15666, 22588, -117833,
26709, -15343, 22912, -117833,
27033, -15666, 21941, -117833,
26386, -15666, 22265, -118156,
26709, -15343, 22588, -117833,
27033, -15343, 22265, -118156,
26709, -15666, 22265, -117833,
27033, -15020, 22265, -117833,
27033, -15343, 22912, -117509,
27356, -15020, 22265, -118156,
27033, -15343, 22265, -117833,
27033, -15343, 22588, -117509,
27033, -15343, 22265, -118156,
27033, -15666, 22265, -118479,
27033, -15343, 22265, -117833,
26709, -15343, 22588, -118156,
27356, -15020, 22588, -117833,
27356, -15343, 22588, -117509,
27033, -15343, 22265, -117833,
27033, -15020, 22588, -118156,
27033, -15343, 22265, -117833,
27033, -15666, 21618, -118156,
27356, -15343, 22912, -118156,
